indicator,unit,time,regioncode,regionname,numvalue
Notification rate ,N/1000000,2000-11-01,SE,Sweden,0.0
Notification rate ,N/1000000,2000-11-01,UK,United Kingdom,85055.35
Notification rate ,N/1000000,2000-12-01,DK,Denmark,187616.55
Notification rate ,N/1000000,2000-12-01,EL,Greece,0.0
Notification rate ,N/1000000,2000-12-01,FI,Finland,193374.88999999998
Notification rate ,N/1000000,2000-12-01,IE,Ireland,4500253.47
Notification rate ,N/1000000,2000-12-01,NL,Netherlands,0.0
Notification rate ,N/1000000,2000-12-01,NO,Norway,0.0
Notification rate ,N/1000000,2000-12-01,PT,Portugal,97570.28
Notification rate ,N/1000000,2000-12-01,SE,Sweden,0.0
Notification rate ,N/1000000,2000-12-01,UK,United Kingdom,119077.48999999999
Notification rate ,N/1000000,2001-01-01,DE,Germany,2674461.8299999996
Notification rate ,N/1000000,2001-01-01,DK,Denmark,186943.42
Notification rate ,N/1000000,2001-01-01,EL,Greece,0.0
Notification rate ,N/1000000,2001-01-01,ES,Spain,147545.05000000002
Notification rate ,N/1000000,2001-01-01,FI,Finland,0.0
Notification rate ,N/1000000,2001-01-01,IE,Ireland,7305396.62
Notification rate ,N/1000000,2001-01-01,IT,Italy,772462.52
Notification rate ,N/1000000,2001-01-01,LU,Luxembourg,0.0
Notification rate ,N/1000000,2001-01-01,MT,Malta,2554833.1
Notification rate ,N/1000000,2001-01-01,NL,Netherlands,0.0
Notification rate ,N/1000000,2001-01-01,NO,Norway,0.0
Notification rate ,N/1000000,2001-01-01,PT,Portugal,290394.5
Notification rate ,N/1000000,2001-01-01,SE,Sweden,0.0
Notification rate ,N/1000000,2001-01-01,UK,United Kingdom,67796.86
Notification rate ,N/1000000,2001-02-01,DE,Germany,5166573.99
Notification rate ,N/1000000,2001-02-01,DK,Denmark,0.0
Notification rate ,N/1000000,2001-02-01,EL,Greece,276855.2
Notification rate ,N/1000000,2001-02-01,ES,Spain,49181.68
Notification rate ,N/1000000,2001-02-01,FI,Finland,0.0
Notification rate ,N/1000000,2001-02-01,IE,Ireland,6261768.53
Notification rate ,N/1000000,2001-02-01,IT,Italy,948022.19
Notification rate ,N/1000000,2001-02-01,LU,Luxembourg,0.0
Notification rate ,N/1000000,2001-02-01,MT,Malta,0.0
Notification rate ,N/1000000,2001-02-01,NO,Norway,0.0
Notification rate ,N/1000000,2001-02-01,PT,Portugal,0.0
Notification rate ,N/1000000,2001-02-01,SE,Sweden,0.0
